place,count,amount,users,category,lat,lng,address,place_url,subtype
커스텀커피,44,1301800,의회사무과장,카페,37.42146088418944,126.9905216992507,경기 과천시 별양로 17,http://place.map.kakao.com/56219697,카페
이대감,39,5261850,부의장/의장,음식점,37.4170407544171,126.984514790196,경기 과천시 찬우물로 28,http://place.map.kakao.com/337129054,한식
제주항,21,2633950,부의장/의장,음식점,37.4291322000438,126.991200889402,경기 과천시 새술막길 36,http://place.map.kakao.com/661905174,한식
수미수작,11,1368700,부의장/의장/의회사무과장,음식점,37.429061939199,126.99145284932334,경기 과천시 새술막길 38,http://place.map.kakao.com/27437724,한식
우지커피,10,197400,의회사무과장,카페,37.4297943766252,126.990295810658,경기 과천시 관문로 92,http://place.map.kakao.com/393491887,카페
참우돈가,9,2036170,부의장/의장,음식점,37.4136586638573,126.980670338847,경기 과천시 과천대로7길 12,http://place.map.kakao.com/376678494,한식
문원한우마을,9,1943000,부의장/의장,음식점,37.42695810219719,126.9919953908781,경기 과천시 별양상가1로 10,http://place.map.kakao.com/10416133,한식
남태령원주추어탕,9,661500,의장/의회사무과장,음식점,37.450576530347654,126.99381580962496,경기 과천시 남태령옛길 6,http://place.map.kakao.com/23803027,한식
칸지고고,8,1369000,의장/의회사무과장,음식점,37.4289123495454,126.991169280005,경기 과천시 새술막길 10-19,http://place.map.kakao.com/27375209,한식
청도수산,7,1710000,의장,음식점,37.426966211429225,126.99199651981148,경기 과천시 별양상가1로 10,http://place.map.kakao.com/1798986194,한식
부팔라 리스토란테,7,1586800,부의장/의장,음식점,37.430174626686714,126.99055449607054,경기 과천시 관문로 92,http://place.map.kakao.com/953501307,양식
부잣집,7,1276500,부의장/의장,음식점,37.4269535967281,126.991989742375,경기 과천시 별양상가1로 10,http://place.map.kakao.com/1189680939,한식
풍경,7,1069000,의장,음식점,37.4280078482985,126.99295448984347,경기 과천시 별양상가로 7,http://place.map.kakao.com/667592923,한식
복지카페,7,518250,부의장,카페,37.402406528041645,127.10110072646395,경기 성남시 분당구 판교로 242,http://place.map.kakao.com/2075083862,카페
코다리명가,6,657000,의장,음식점,37.4159227919832,126.975137954838,경기 과천시 삼현로 53-87,http://place.map.kakao.com/1057368679,한식
고굽진,5,1241000,부의장/의장/의회사무과장,음식점,37.4282554941426,126.990984067315,경기 과천시 중앙로 129,http://place.map.kakao.com/632496996,한식
속초오징어어시장,5,1091500,부의장/의회사무과장,음식점,37.428899734124954,126.99115346392595,경기 과천시 새술막길 10-19,http://place.map.kakao.com/1277008517,한식
팰리스차이나,5,1043000,부의장/의장,음식점,37.4411627233194,126.99365386296,경기 과천시 중앙로 297,http://place.map.kakao.com/1842317304,중식
인성참치,5,964500,의장/의회사무과장,음식점,37.42699954460566,126.99193098802266,경기 과천시 별양상가1로 10,http://place.map.kakao.com/11180974,한식
무래무거,5,766850,의장,음식점,37.4177521665552,126.981761666414,경기 과천시 김영철길 19,http://place.map.kakao.com/875004653,한식
프롬더어스,5,585050,부의장,카페,37.4280151044936,126.993813146673,경기 과천시 별양상가1로 40,http://place.map.kakao.com/634437688,카페
커피케빈,5,448800,부의장/의장,카페,37.42695900329097,126.99199652057881,경기 과천시 별양상가1로 10,http://place.map.kakao.com/1543323369,카페
곤트란쉐리에,5,267280,부의장,음식점,37.4297943766334,126.990295810658,경기 과천시 관문로 92,http://place.map.kakao.com/1803906281,한식
코피,5,260150,부의장/의장,음식점,37.429771830917794,126.99005176836394,경기 과천시 관문로 92,http://place.map.kakao.com/1193754757,한식
까치식당,4,841000,의장/의회사무과장,음식점,37.4290096786692,126.991431388543,경기 과천시 새술막길 38,http://place.map.kakao.com/10201230,한식
더 호,4,777000,부의장/의장,음식점,37.4176208318933,126.976357309401,경기 과천시 과천대로7나길 48,https://place.map.kakao.com/1793247297,한식
가마솥회관,4,718100,의장/의회사무과장,음식점,37.416088361462975,126.98439298587783,경기 과천시 과천대로 161,http://place.map.kakao.com/8699106,한식
갤러리카페 봄,4,570650,부의장/의장,카페,37.41600525558689,126.98286122202735,경기 과천시 가일로 15-3,http://place.map.kakao.com/10385100,카페
향교집,4,537000,의장/의회사무과장,음식점,37.43350178413497,126.9873768133333,경기 과천시 자하동길 18,http://place.map.kakao.com/10908233,한식
청계산도토리,4,467000,의장,음식점,37.4135636825673,126.993997329936,경기 과천시 매봉로 15,http://place.map.kakao.com/661237539,한식
옛날김치찌개,4,270000,부의장/의장,음식점,37.42844203194548,126.9913489764584,경기 과천시 중앙로 131,http://place.map.kakao.com/5330884,한식
비비커피,4,246150,의장/의회사무과장,카페,37.41675342628244,126.98527284001662,경기 과천시 찬우물로 21,http://place.map.kakao.com/1931902758,카페
커피홀,4,194850,부의장/의회사무과장,카페,37.42970158102714,126.99040767658443,경기 과천시 관문로 92,http://place.map.kakao.com/1558339655,카페
니크커피,4,126000,부의장,카페,37.4297945568098,126.990295584667,경기 과천시 관문로 92,https://place.map.kakao.com/1057789376,카페
영스타,3,1286900,의장/의회사무과장,음식점,37.428692634907215,126.9931871691443,경기 과천시 별양상가1로 31,http://place.map.kakao.com/524107651,한식
토정,3,508150,의장,기타,,,,,기타
살살녹소,3,361000,부의장,음식점,37.4432431908129,126.994117004245,경기 과천시 중앙로 319,http://place.map.kakao.com/1173987258,한식
스타벅스,3,359250,의장,카페,37.428178907940556,126.99098746594454,경기 과천시 중앙로 129,http://place.map.kakao.com/10219173,카페
동성회관,3,340000,부의장/의장/의회사무과장,음식점,37.4291249908982,126.99118733229508,경기 과천시 새술막길 36,http://place.map.kakao.com/10291208,한식
호화온도,3,276050,의장/의회사무과장,음식점,37.417098495242534,126.9851033251747,경기 과천시 찬우물로 24,http://place.map.kakao.com/1845296421,한식
자매식당,3,245000,의장,음식점,37.4289952630525,126.991440428804,경기 과천시 새술막길 38,http://place.map.kakao.com/9383915,한식
옥된장,3,242950,의장,음식점,37.4141575577833,126.97907972776,경기 과천시 과천대로7길 20,http://place.map.kakao.com/121300616,한식
영국정원,3,231950,의장/의회사무과장,카페,37.514259406492954,127.01179183571978,서울 서초구 잠원로8길 25,http://place.map.kakao.com/692177910,카페
달리는커피,3,174500,부의장,카페,37.4147522859618,126.97939585406121,경기 과천시 과천대로7길 26,http://place.map.kakao.com/41886610,카페
플라세르,3,161500,부의장/의장,카페,37.4299800093111,126.990582766574,경기 과천시 관문로 92,http://place.map.kakao.com/500131959,카페
